"","season","trade_status","PlayerName","avg_IP","n_IP","gs_pct","sv_pct","hld_pct","tbf_avg","h_avg","er_avg","hr_avg","bb_avg","hbp_avg","wp_avg","bk_avg","k_per_9","bb_per9_avg","whip","babip_est","pitches_avg"
"1",2021,"post_trade","Andrew Chafin",0.964285714285714,81,0,0.178571428571429,0.178571428571429,4.14285714285714,0.857142857142857,0.178571428571429,0.107142857142857,0.25,0,0.0357142857142857,0,9,2.33333333333333,10.3333333333333,0.265822784810127,13.7142857142857
"2",2021,"post_trade","Andrew Heaney",2.875,34.5,0.416666666666667,0,0,13.0833333333333,3.16666666666667,2.41666666666667,1.08333333333333,0.833333333333333,0.25,0.0833333333333333,0,9.65217391304348,2.60869565217391,12.5217391304348,0.265957446808511,52.75
"3",2021,"post_trade","Ashton Goudeau",2.15454545454545,23.7,0.0909090909090909,0,0,8.81818181818182,1.45454545454545,1.09090909090909,0.272727272727273,0.727272727272727,0.181818181818182,0.0909090909090909,0,6.45569620253165,3.0379746835443,9.11392405063291,0.194029850746269,36
"4",2021,"post_trade","Austin Davis",0.557894736842105,10.6,0,0,0.105263157894737,3.94736842105263,0.947368421052632,0.473684210526316,0.105263157894737,0.368421052631579,0,0.0526315789473684,0,14.4339622641509,5.9433962264151,21.2264150943396,0.326530612244898,16.1052631578947
"5",2021,"post_trade","Brad Hand",0.711111111111111,38.4,0,0,0.111111111111111,3.55555555555556,0.925925925925926,0.407407407407407,0.148148148148148,0.296296296296296,0.037037037037037,0.0740740740740741,0,8.90625,3.75,15.46875,0.328125,14.037037037037
"6",2021,"post_trade","Bryse Wilson",5.0125,40.1,1,0,0,21.125,5,2.75,1,1.25,0,0.125,0,5.16209476309227,2.24438902743142,11.2219451371571,0.25,75.375
"7",2021,"post_trade","Clay Holmes",1.036,25.9,0,0,0.2,4.12,0.72,0.2,0.08,0.16,0,0.16,0,11.8146718146718,1.38996138996139,7.64478764478764,0.253968253968254,15.84
"8",2021,"post_trade","Codi Heuer",1.1,27.5,0,0.08,0.16,4.6,0.8,0.4,0.08,0.52,0.04,0.12,0,5.56363636363636,4.25454545454545,10.8,0.219512195121951,15.88
"9",2021,"post_trade","Craig Kimbrel",0.9,21.6,0,0.0416666666666667,0.25,4.08333333333333,0.75,0.541666666666667,0.208333333333333,0.416666666666667,0.125,0.208333333333333,0,15,4.16666666666667,11.6666666666667,0.295454545454545,17
"10",2021,"post_trade","DJ Johnson",0.733333333333333,2.2,0,0,0,2.66666666666667,0,0,0,0,0,0,0,8.18181818181818,0,0,0,12.6666666666667
"11",2021,"post_trade","Daniel Hudson",0.690909090909091,15.2,0,0,0.0909090909090909,3.59090909090909,0.727272727272727,0.454545454545455,0.136363636363636,0.409090909090909,0,0.0909090909090909,0,15.3947368421053,5.32894736842105,14.8026315789474,0.317073170731707,14.7727272727273
"12",2021,"post_trade","Daniel Norris",1.03888888888889,18.7,0,0,0.0555555555555556,5.05555555555556,0.944444444444444,0.833333333333333,0.277777777777778,0.833333333333333,0,0.111111111111111,0,8.66310160427808,7.2192513368984,15.4010695187166,0.226415094339623,21.1111111111111
"13",2021,"post_trade","Diego Castillo",0.858333333333333,20.6,0,0.0833333333333333,0.291666666666667,3.66666666666667,0.583333333333333,0.291666666666667,0.166666666666667,0.291666666666667,0.166666666666667,0.0416666666666667,0,11.3592233009709,3.05825242718447,9.1747572815534,0.212765957446809,14.9166666666667
"14",2021,"post_trade","Hansel Robles",0.874074074074074,23.6,0,0.148148148148148,0.111111111111111,4.03703703703704,0.777777777777778,0.37037037037037,0.0740740740740741,0.481481481481481,0.0740740740740741,0.0740740740740741,0.037037037037037,12.5847457627119,4.95762711864407,12.9661016949153,0.322033898305085,15.3333333333333
"15",2021,"post_trade","Ian Kennedy",0.982608695652174,22.6,0,0.434782608695652,0,4.43478260869565,0.782608695652174,0.478260869565217,0.304347826086957,0.434782608695652,0.0869565217391304,0,0,10.7522123893805,3.98230088495575,11.1504424778761,0.196428571428571,19.304347826087
"16",2021,"post_trade","Joakim Soria",0.73,7.3,0,0,0.2,3.4,0.8,0.7,0.2,0.4,0,0.1,0,11.0958904109589,4.93150684931507,14.7945205479452,0.31578947368421,14.3
"17",2021,"post_trade","Joe Smith",0.6,13.8,0,0,0.130434782608696,3.04347826086957,0.521739130434783,0.173913043478261,0.0434782608695652,0.173913043478261,0,0,0,11.0869565217391,2.60869565217391,10.4347826086957,0.229166666666667,10.6521739130435
"18",2021,"post_trade","Joel Payamps",1.2,18,0.0666666666666667,0,0,5.73333333333333,1.53333333333333,0.666666666666667,0.2,0.2,0,0.0666666666666667,0,8,1.5,13,0.3125,22.9333333333333
"19",2021,"post_trade","John Curtiss",0.45,2.7,0,0,0.5,4.33333333333333,1.33333333333333,1,0.333333333333333,0.5,0,0,0,13.3333333333333,10,36.6666666666667,0.352941176470588,17
"20",2021,"post_trade","John Gant",2.32142857142857,32.5,0.5,0,0.0714285714285714,10.4285714285714,2.21428571428571,1.5,0.285714285714286,1.07142857142857,0.0714285714285714,0.214285714285714,0,9.96923076923077,4.15384615384615,12.7384615384615,0.3,41.5
"21",2021,"post_trade","Jon Lester",5.38333333333333,64.6,1,0,0,23.75,5.66666666666667,2.66666666666667,0.916666666666667,2.16666666666667,0.166666666666667,0,0,5.57275541795666,3.62229102167183,13.0959752321981,0.276699029126214,88.4166666666667
