"","player_name","trade_status","pitcher","n_pitches","count_CU","count_FC","count_FF","count_SL","count_ST","count_SI","count_FS","count_CH","pct_count_CU","pct_count_FC","pct_count_FF","pct_count_SL","pct_count_ST","pct_count_SI","pct_count_FS","pct_count_CH"
"1","Adam, Jason","post_trade",592094,403,0,0,128,105,58,0,0,112,0,0,0.317617866004963,0.260545905707196,0.143920595533499,0,0,0.277915632754342
"2","Adam, Jason","pre_trade",592094,706,0,16,283,108,121,4,0,174,0,0.0226628895184136,0.400849858356941,0.152974504249292,0.171388101983003,0.0056657223796034,0,0.246458923512748
"3","Anderson, Tyler","post_trade",542881,1022,2,236,383,9,0,131,0,261,0.00195694716242661,0.23091976516634,0.374755381604697,0.00880626223091976,0,0.128180039138943,0,0.255381604696673
"4","Anderson, Tyler","pre_trade",542881,1580,14,445,587,15,0,138,0,380,0.00886075949367089,0.281645569620253,0.371518987341772,0.00949367088607595,0,0.0873417721518987,0,0.240506329113924
"5","Armstrong, Shawn","post_trade",542888,583,0,171,259,0,41,68,0,0,0,0.293310463121784,0.444253859348199,0,0.0703259005145798,0.11663807890223,0,0
"6","Armstrong, Shawn","pre_trade",542888,1211,0,400,487,0,22,233,0,0,0,0.330305532617671,0.402146985962015,0,0.0181668042939719,0.192402972749794,0,0
"7","Banks, Tanner","post_trade",621383,392,55,0,132,130,0,47,0,28,0.14030612244898,0,0.336734693877551,0.331632653061224,0,0.119897959183673,0,0.0714285714285714
"8","Banks, Tanner","pre_trade",621383,782,120,0,231,256,0,52,0,123,0.153452685421995,0,0.29539641943734,0.327365728900256,0,0.0664961636828645,0,0.157289002557545
"9","Barlow, Scott","post_trade",605130,494,196,0,89,9,133,67,0,0,0.396761133603239,0,0.180161943319838,0.0182186234817814,0.269230769230769,0.135627530364372,0,0
"10","Barlow, Scott","pre_trade",605130,703,206,0,167,302,0,28,0,0,0.29302987197724,0,0.237553342816501,0.429587482219061,0,0.0398293029871977,0,0
"11","Bass, Anthony","post_trade",542914,366,0,0,33,197,0,121,15,0,0,0,0.0901639344262295,0.538251366120219,0,0.330601092896175,0.040983606557377,0
"12","Bass, Anthony","pre_trade",542914,620,0,0,64,353,0,179,24,0,0,0,0.103225806451613,0.569354838709677,0,0.288709677419355,0.0387096774193548,0
"13","Baumann, Mike","post_trade",657508,458,0,0,195,128,0,0,0,0,0,0,0.425764192139738,0.279475982532751,0,0,0,0
"14","Baumann, Mike","pre_trade",657508,609,0,0,238,127,0,2,0,19,0,0,0.390804597701149,0.208538587848933,0,0.00328407224958949,0,0.0311986863711002
"15","Bazardo, Eduard","post_trade",660825,208,0,0,62,92,0,33,21,0,0,0,0.298076923076923,0.442307692307692,0,0.158653846153846,0.100961538461538,0
"16","Bazardo, Eduard","pre_trade",660825,62,0,0,5,30,0,26,1,0,0,0,0.0806451612903226,0.483870967741935,0,0.419354838709677,0.0161290322580645,0
"17","Bañuelos, Manny","post_trade",544365,582,202,0,114,97,0,115,0,54,0.347079037800687,0,0.195876288659794,0.166666666666667,0,0.197594501718213,0,0.0927835051546392
"18","Bañuelos, Manny","pre_trade",544365,136,33,0,22,17,0,46,0,18,0.242647058823529,0,0.161764705882353,0.125,0,0.338235294117647,0,0.132352941176471
"19","Beasley, Jeremy","pre_trade",676886,271,0,0,166,76,0,0,29,0,0,0,0.612546125461255,0.280442804428044,0,0,0.107011070110701,0
"20","Beeks, Jalen","post_trade",656222,359,1,76,191,0,0,0,0,91,0.00278551532033426,0.211699164345404,0.532033426183844,0,0,0,0,0.253481894150418
"21","Beeks, Jalen","pre_trade",656222,827,11,135,467,0,0,1,0,213,0.0133010882708585,0.163240628778718,0.564691656590085,0,0,0.00120918984280532,0,0.257557436517533
"22","Bickford, Phil","post_trade",641360,448,0,0,340,83,0,0,0,25,0,0,0.758928571428571,0.185267857142857,0,0,0,0.0558035714285714
"23","Bickford, Phil","pre_trade",641360,781,0,0,532,248,0,1,0,0,0,0,0.681177976952625,0.317541613316261,0,0.00128040973111396,0,0
"24","Blackburn, Paul","post_trade",621112,408,35,110,57,60,0,78,0,68,0.0857843137254902,0.269607843137255,0.139705882352941,0.147058823529412,0,0.191176470588235,0,0.166666666666667
"25","Blackburn, Paul","pre_trade",621112,804,88,157,179,142,0,87,0,151,0.109452736318408,0.195273631840796,0.222636815920398,0.176616915422886,0,0.108208955223881,0,0.187810945273632
"26","Bloss, Jake","pre_trade",814005,238,31,0,104,55,25,4,0,19,0.130252100840336,0,0.436974789915966,0.23109243697479,0.105042016806723,0.0168067226890756,0,0.0798319327731092
"27","Bruihl, Justin","post_trade",677865,77,0,23,0,0,21,33,0,0,0,0.298701298701299,0,0,0.272727272727273,0.428571428571429,0,0
"28","Bruihl, Justin","pre_trade",677865,361,0,139,0,0,116,106,0,0,0,0.385041551246537,0,0,0.321329639889197,0.293628808864266,0,0
"29","Bush, Matt","post_trade",456713,369,143,39,186,0,0,1,0,0,0.387533875338753,0.105691056910569,0.504065040650406,0,0,0.002710027100271,0,0
"30","Bush, Matt","pre_trade",456713,540,177,108,254,0,0,1,0,0,0.327777777777778,0.2,0.47037037037037,0,0,0.00185185185185185,0,0
"31","Cabrera, Génesis","post_trade",650893,365,42,93,144,0,0,84,0,2,0.115068493150685,0.254794520547945,0.394520547945205,0,0,0.23013698630137,0,0.00547945205479452
"32","Cabrera, Génesis","pre_trade",650893,581,84,211,194,0,0,55,0,37,0.144578313253012,0.363166953528399,0.333907056798623,0,0,0.0946643717728055,0,0.0636833046471601
"33","Cano, Yennier","post_trade",666974,112,0,0,14,19,0,39,0,40,0,0,0.125,0.169642857142857,0,0.348214285714286,0,0.357142857142857
"34","Cano, Yennier","pre_trade",666974,282,0,0,33,88,0,82,0,79,0,0,0.117021276595745,0.312056737588652,0,0.290780141843972,0,0.280141843971631
"35","Castillo, Diego","post_trade",650895,358,0,0,11,215,0,132,0,0,0,0,0.0307262569832402,0.600558659217877,0,0.368715083798883,0,0
"36","Castillo, Diego","pre_trade",650895,578,0,0,26,407,0,145,0,0,0,0,0.0449826989619377,0.704152249134948,0,0.250865051903114,0,0
"37","Castillo, Luis","post_trade",622491,1075,0,0,368,229,0,289,0,189,0,0,0.342325581395349,0.213023255813953,0,0.268837209302326,0,0.175813953488372
"38","Castillo, Luis","pre_trade",622491,1431,0,0,456,299,0,307,0,369,0,0,0.318658280922432,0.208944793850454,0,0.214535290006988,0,0.257861635220126
"39","Castillo, Max","post_trade",666721,363,0,0,165,93,0,0,0,105,0,0,0.454545454545455,0.256198347107438,0,0,0,0.289256198347107
"40","Castillo, Max","pre_trade",666721,334,0,0,169,38,0,1,0,126,0,0,0.505988023952096,0.11377245508982,0,0.0029940119760479,0,0.377245508982036
"41","Cessa, Luis","post_trade",570666,362,0,0,82,184,0,33,0,63,0,0,0.226519337016575,0.50828729281768,0,0.0911602209944751,0,0.174033149171271
"42","Cessa, Luis","pre_trade",570666,587,0,0,118,354,0,64,0,51,0,0,0.201022146507666,0.603066439522998,0,0.109028960817717,0,0.0868824531516184
"43","Chafin, Andrew","post_trade",605177,1037,0,0,281,329,0,427,0,0,0,0,0.270973963355834,0.317261330761813,0,0.411764705882353,0,0
"44","Chafin, Andrew","pre_trade",605177,1798,0,0,335,687,0,767,0,9,0,0,0.186318131256952,0.382091212458287,0,0.426585094549499,0,0.0050055617352614
"45","Chavez, Jesse","post_trade",445926,479,11,278,4,0,0,135,0,50,0.022964509394572,0.580375782881002,0.00835073068893528,0,0,0.281837160751566,0,0.104384133611691
"46","Chavez, Jesse","pre_trade",445926,723,9,426,2,0,0,181,0,105,0.012448132780083,0.589211618257261,0.00276625172890733,0,0,0.250345781466113,0,0.145228215767635
"47","Civale, Aaron","post_trade",650644,826,186,290,104,62,2,170,12,0,0.225181598062954,0.351089588377724,0.12590799031477,0.0750605326876513,0.00242130750605327,0.205811138014528,0.0145278450363196,0
"48","Civale, Aaron","pre_trade",650644,1183,304,457,144,54,0,201,22,0,0.256973795435334,0.386306001690617,0.121724429416737,0.0456466610312764,0,0.169907016060862,0.0185967878275571,0
"49","Cleavinger, Garrett","post_trade",664076,248,11,0,99,100,0,38,0,0,0.0443548387096774,0,0.399193548387097,0.403225806451613,0,0.153225806451613,0,0
"50","Cleavinger, Garrett","pre_trade",664076,99,4,0,31,44,0,20,0,0,0.0404040404040404,0,0.313131313131313,0.444444444444444,0,0.202020202020202,0,0
"51","Curtiss, John","post_trade",595928,102,0,0,56,46,0,0,0,0,0,0,0.549019607843137,0.450980392156863,0,0,0,0
"52","Curtiss, John","pre_trade",595928,601,0,0,297,304,0,0,0,0,0,0,0.494176372712146,0.505823627287854,0,0,0,0
"53","Davidson, Tucker","post_trade",656353,927,35,0,353,351,55,32,62,39,0.0377562028047465,0,0.380798274002157,0.378640776699029,0.0593311758360302,0.0345199568500539,0.0668824163969795,0.0420711974110032
"54","Davidson, Tucker","pre_trade",656353,832,38,0,322,425,39,0,6,2,0.0456730769230769,0,0.387019230769231,0.510817307692308,0.046875,0,0.00721153846153846,0.00240384615384615
"55","Davis, Austin","post_trade",656354,306,5,0,138,113,0,4,0,46,0.0163398692810458,0,0.450980392156863,0.369281045751634,0,0.0130718954248366,0,0.150326797385621
"56","Davis, Austin","pre_trade",656354,167,0,0,104,62,0,0,0,1,0,0,0.622754491017964,0.37125748502994,0,0,0,0.00598802395209581
"57","De Los Santos, Enyel","post_trade",660853,412,0,0,217,153,0,0,0,42,0,0,0.526699029126214,0.371359223300971,0,0,0,0.101941747572816
"58","De Los Santos, Enyel","pre_trade",660853,715,0,0,339,331,0,1,0,44,0,0,0.474125874125874,0.462937062937063,0,0.0013986013986014,0,0.0615384615384615
"59","Diehl, Phillip","pre_trade",670426,120,0,0,62,56,0,0,0,2,0,0,0.516666666666667,0.466666666666667,0,0,0,0.0166666666666667
"60","Diekman, Jake","post_trade",518617,388,0,0,159,0,103,114,0,12,0,0,0.40979381443299,0,0.265463917525773,0.293814432989691,0,0.0309278350515464
"61","Diekman, Jake","pre_trade",518617,784,0,0,327,0,308,147,0,2,0,0,0.417091836734694,0,0.392857142857143,0.1875,0,0.00255102040816327
"62","Domínguez, Seranthony","post_trade",622554,411,0,0,171,66,98,65,0,11,0,0,0.416058394160584,0.160583941605839,0.238442822384428,0.158150851581509,0,0.0267639902676399
