"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"11","FS",2024-09-28,86.2,-1.67,6.37,"Hoeing, Bryan",664983,663773,"field_out","hit_into_play",NA,NA,NA,NA,3,"Jake McCarthy bunt grounds out softly, pitcher Bryan Hoeing to first baseman Donovan Solano.","R","L","R","AZ","SD","X",1,"ground_ball",0,0,2024,-0.52,1.01,0.49,3.55,NA,NA,NA,0,7,"Bot",134.96,182.84,NA,NA,NA,NA,6.2052114891152,-125.359963854793,-2.51501628828031,-6.77415830276607,25.2096408841826,-21.2535519630197,3.45,1.63,4,42.7,-46,86.1,1076,6.3,747146,543309,456781,605113,592518,593428,444482,663604,642180,54.23,0.271,0.297,0,1,0,0,1,52,1,"Split-Finger",0,0,0,0,0,0,0,0,"Infield shade","Standard",255,-0.038,0.121,NA,NA,0.288,-0.121,88,0,0,0.586,0.586,27,26,28,27,1,2,2,3,4,1,2.06,0.52,-0.52,39.2
"12","FS",2024-09-26,86.8,-1.9,6.38,"Hoeing, Bryan",681624,663773,"home_run","hit_into_play",NA,NA,NA,NA,2,"Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.","R","R","R","LAD","SD","X",NA,"fly_ball",2,2,2024,-0.71,0.63,-0.23,3.13,NA,571771,NA,2,8,"Bot",27.83,59.06,NA,NA,NA,NA,5.46423472558238,-126.307001056864,-2.86529994080849,-8.75563229983211,25.6385526448681,-25.0567504579761,3.54,1.63,428,107.8,29,86.7,1059,6.2,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.3,0.98,2.013,2,1,0,3,6,68,5,"Split-Finger",5,2,5,2,2,7,7,2,"Standard","Standard",264,0.022,1.642,73.2,7.7,3.909,-1.642,107.8,3,3,0.973,0.973,27,23,28,24,1,3,1,1,2,1,2.39,0.71,0.71,37.2
"13","FS",2024-09-26,86.9,-1.99,6.31,"Hoeing, Bryan",681624,663773,"","called_strike",NA,NA,NA,NA,4,"Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.","R","R","R","LAD","SD","S",NA,"",2,1,2024,-0.59,0.11,-0.65,2.86,NA,571771,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,4.40306856007545,-126.669655182988,-2.38081411146844,-7.16790276542441,23.2433992312656,-30.7621725875467,3.49,1.59,NA,NA,NA,87.2,1074,6.2,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.32,NA,NA,NA,NA,NA,NA,NA,68,4,"Split-Finger",5,2,5,2,2,5,5,2,"Standard","Standard",249,0,-0.062,NA,NA,NA,0.062,NA,3,3,0.973,0.973,27,23,28,24,1,3,1,1,2,1,2.88,0.59,0.59,35.1
"14","SI",2024-09-26,94.5,-1.97,6.03,"Hoeing, Bryan",681624,663773,"","ball",NA,NA,NA,NA,14,"Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.","R","R","R","LAD","SD","B",NA,"",1,1,2024,-1.37,0.42,1.69,2.16,NA,571771,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,12.5806742475543,-137.013264994278,-5.33822434516402,-19.9771702896897,28.0639451966995,-25.8752504519202,3.49,1.65,NA,NA,NA,94.6,1956,6.4,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.1,NA,NA,NA,NA,NA,NA,NA,68,3,"Sinker",5,2,5,2,2,5,5,2,"Standard","Standard",237,0,0.039,NA,NA,NA,-0.039,NA,3,3,0.973,0.973,27,23,28,24,1,3,1,1,2,1,2.14,1.37,1.37,31.7
"15","FS",2024-09-26,86.5,-1.89,6.23,"Hoeing, Bryan",681624,663773,"","ball",NA,NA,NA,NA,14,"Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.","R","R","R","LAD","SD","B",NA,"",0,1,2024,-0.34,-0.35,1.34,0.88,NA,NA,571771,2,8,"Bot",NA,NA,NA,NA,NA,NA,8.41519280903962,-125.704088623387,-5.82851940374586,-5.29236825256236,24.6623713221766,-34.9518766552273,3.54,1.6,NA,NA,NA,86.7,1053,6.4,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.06,NA,NA,NA,NA,NA,NA,NA,68,2,"Split-Finger",5,2,5,2,2,5,5,2,"Standard","Standard",257,0.001,0.032,NA,NA,NA,-0.032,NA,3,3,0.972,0.972,27,23,28,24,1,3,1,1,2,1,3.4,0.34,0.34,35.8
"16","SL",2024-09-26,84.5,-1.85,6.08,"Hoeing, Bryan",681624,663773,"","called_strike",NA,NA,NA,NA,6,"Andy Pages homers (12) on a fly ball to left field. Enrique Hernández scores.","R","R","R","LAD","SD","S",NA,"",0,0,2024,-0.07,-0.27,0.59,2.56,NA,NA,571771,2,8,"Bot",NA,NA,NA,NA,NA,NA,5.81790659114269,-122.937200535177,-1.29167185053815,-1.86857135381426,24.528076733716,-34.8195423860433,3.56,1.74,NA,NA,NA,84.5,2142,6.3,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.17,NA,NA,NA,NA,NA,NA,NA,68,1,"Slider",5,2,5,2,2,5,5,2,"Standard","Standard",33,0,-0.047,NA,NA,NA,0.047,NA,3,3,0.972,0.972,27,23,28,24,1,3,1,1,2,1,3.46,0.07,0.07,35
"17","SI",2024-09-26,93.7,-2.12,6.03,"Hoeing, Bryan",571771,663773,"single","hit_into_play",NA,NA,NA,NA,13,"Enrique Hernández singles on a sharp line drive to left fielder Jurickson Profar.","R","R","R","LAD","SD","X",7,"line_drive",1,1,2024,-1.36,0.61,-0.88,2.04,NA,NA,NA,2,8,"Bot",67.2,118.89,NA,NA,NA,NA,6.20208868864915,-136.339874220672,-5.97474225480906,-18.3337929226185,27.5800040728152,-23.4620285330728,3.37,1.64,156,101.2,9,94,1821,6.3,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.2,0.734,0.709,0.9,1,1,0,4,67,3,"Sinker",5,2,5,2,2,5,5,2,"Standard","Standard",235,0.002,0.344,73.7,7.4,0.87,-0.344,101.2,3,3,0.97,0.97,27,32,28,33,1,1,1,1,2,1,1.97,1.36,1.36,29
"18","FS",2024-09-26,86.3,-1.91,6.33,"Hoeing, Bryan",571771,663773,"","swinging_strike",NA,NA,NA,NA,8,"Enrique Hernández singles on a sharp line drive to left fielder Jurickson Profar.","R","R","R","LAD","SD","S",NA,"",1,0,2024,-0.46,-0.04,-0.09,2.01,NA,NA,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,5.24997515447804,-125.624060826217,-4.04987705465886,-5.87847559559462,22.6737063655021,-32.0329230358063,3.37,1.64,NA,NA,NA,86.6,1048,6.2,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.29,NA,NA,NA,NA,NA,NA,NA,67,2,"Split-Finger",5,2,5,2,2,5,5,2,"Standard","Standard",255,0,-0.051,73.9,8.8,NA,0.051,NA,3,3,0.97,0.97,27,32,28,33,1,1,1,1,2,1,3.07,0.46,0.46,38.4
"19","SI",2024-09-26,94.6,-1.88,6.11,"Hoeing, Bryan",571771,663773,"","ball",NA,NA,NA,NA,13,"Enrique Hernández singles on a sharp line drive to left fielder Jurickson Profar.","R","R","R","LAD","SD","B",NA,"",0,0,2024,-1.4,0.43,-1.12,2.12,NA,NA,NA,2,8,"Bot",NA,NA,NA,NA,NA,NA,5.11134518666064,-137.717677970233,-5.74878419661271,-18.9253241738277,28.0333033157896,-25.6449798542504,3.26,1.57,NA,NA,NA,95,1908,6.3,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.18,NA,NA,NA,NA,NA,NA,NA,67,1,"Sinker",5,2,5,2,2,5,5,2,"Standard","Standard",233,0,0.04,NA,NA,NA,-0.04,NA,3,3,0.97,0.97,27,32,28,33,1,1,1,1,2,1,2.1,1.4,1.4,30
"20","FS",2024-09-26,86.9,-1.86,6.32,"Hoeing, Bryan",669242,663773,"field_out","hit_into_play",NA,NA,NA,NA,13,"Tommy Edman grounds out, third baseman Manny Machado to first baseman Luis Arraez.","R","L","R","LAD","SD","X",5,"ground_ball",2,2,2024,-0.46,0.07,-0.89,1.92,NA,NA,NA,1,8,"Bot",109.6,162.63,NA,NA,NA,NA,3.26203894954285,-126.56201678613,-4.57271479208275,-5.53726162022395,23.422301769497,-30.7384444747057,3.25,1.48,14,93.6,-7,87.2,1161,6.2,746088,543309,650333,630105,592518,593428,595777,701538,665487,54.3,0.211,0.221,0,1,0,0,2,66,5,"Split-Finger",5,2,5,2,2,5,5,2,"Infield shade","Standard",248,-0.002,-0.225,65,6.6,0.235,0.225,93.6,3,3,0.972,0.972,27,29,28,29,1,3,1,1,2,1,2.92,0.46,-0.46,38.2
